,data_hora,natureza_acidente,bairro,endereco,numero,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,velocidade_max_via,mao_direcao,latitude,longitude
0,2019-01-01 00:41:00,SEM VÍTIMA,IPSEP,AV RECIFE,,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,60 km/h,Única,-8.1160254,-34.923929
1,2019-01-01 01:37:00,SEM VÍTIMA,BOA VIAGEM,RUA PADRE BERNADINO PESSOA,,ABALROAMENTO TRANSVERSAL,2,0,0,0,0,0,0,0,0,0,0,Cruzamento,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Única,-8.1250569,-34.8982175
2,2019-01-01 14:20:00,SEM VÍTIMA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,COLISÃO,2,0,0,0,0,0,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.1155752,-34.895469899999995
3,2019-01-01 02:53:00,SEM VÍTIMA,IMBIRIBEIRA,AV GENERAL MAC ARTHUR,100,COLISÃO,2,0,0,0,0,0,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.1092473,-34.9109797
4,2019-01-01 08:17:00,COM VÍTIMA,JAQUEIRA,RUA TITO ROSAS,63,COLISÃO COM CICLISTA,0,0,0,1,0,1,0,0,0,1,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,40 km/h,Única,-8.0343363,-34.9074744
5,2019-01-01 09:30:00,COM VÍTIMA,IBURA,AV DOIS RIOS,1392,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,2,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,30 km/h,Dupla,-8.115972099999999,-34.940694
6,2019-01-01 09:54:00,COM VÍTIMA,SAN MARTIN,AV GENERAL SAN MARTIN,1622,CHOQUE OBJETO FIXO,1,0,0,0,0,0,0,0,0,4,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,40 km/h,Única,-8.0658601,-34.927522100000004
7,2019-01-01 13:05:00,SEM VÍTIMA,BONGI,EST DO BONGI,290,CHOQUE VEÍCULO PARADO,1,0,0,0,0,0,1,0,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.06712115,-34.920112446793304
8,2019-01-01 15:50:00,SEM VÍTIMA,MADALENA,EST DOS REMEDIOS,2360,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,0,0,Longo da via,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Única,-8.062370399999999,-34.9319576
9,2019-01-01 16:01:00,COM VÍTIMA,CAMPO GRANDE,EST DE BELEM,,ATROPELAMENTO,1,0,0,0,0,0,0,0,0,1,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.0070266,-34.871269330000004
10,2019-01-01 17:23:00,SEM VÍTIMA,NOVA DESCOBERTA,AV VEREADOR OTACILIO AZEVEDO,2480,CHOQUE VEÍCULO PARADO,1,0,1,0,0,0,0,0,0,0,0,Não informado,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.004982799999999,-34.9158141
11,2019-01-01 19:26:00,SEM VÍTIMA,ENGENHO DO MEIO,RUA ANTONIO CURADO,,ABALROAMENTO TRANSVERSAL,2,0,0,0,0,0,0,0,0,0,0,Cruzamento,Bom,Não existe,Incompleta,Seca,Mal iluminada,Não informado,Dupla,-8.0557704,-34.9418342
12,2019-01-01 20:30:00,COM VÍTIMA,ESTÂNCIA,AV DR JOSE RUFINO,,COLISÃO FRONTAL,3,0,0,0,0,0,0,0,0,1,0,Cruzamento,Bom,Sem defeito,Perfeito estado,Seca,Perfeito estado,Não informado,Dupla,-8.0846575,-34.9321359
13,2019-01-01 21:05:00,SEM VÍTIMA,BOA VIAGEM,RUA DES JOAO PAES,,COLISÃO,2,0,0,0,0,0,0,0,0,0,0,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-8.136919599999999,-34.9053222
14,2019-01-02 06:41:00,SEM VÍTIMA,BOMBA DO HEMETÉRIO,RUA PADRE OLIVEIRA,786,ABALROAMENTO LONGITUDINAL,1,0,0,0,0,1,0,0,0,0,0,Longo da via,Bom,Não existe,Perfeito estado,Seca,Perfeito estado,40 km/h,Dupla,-8.0177145,-34.9056869
